Feature_002,Feature_003,Feature_004,Feature_005,Feature_006,Feature_007,Feature_008,Feature_009,Feature_010,Feature_011,Feature_012,Feature_013,Feature_014,Feature_015,Feature_016,Feature_017,Feature_018,Feature_019,Feature_020,Feature_023,Feature_024,Feature_025,Feature_026,Feature_028,Feature_029,Feature_030,Feature_031,Feature_001__time_bucket,Feature_021,Feature_022,Feature_027,Feature_001__hour,Missing_Count,Feature_022_is_outlier
Sunday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the left,morning,2.0,5.0,3.0,8.0,1.0,1.0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,2-5yrs,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,2.0,4.0,3.0,18.0,1.0,1.0
Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,2-5yrs,__MISSING__,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,Reversing,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,1.0,2.0,,13.0,5.0,0.0
Monday,31-50,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,1-2yr,No defect,Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,Under 18,__MISSING__,__MISSING__,Not a Pedestrian,Moving Backward,afternoon,2.0,1.0,3.0,17.0,2.0,0.0
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,2-5yrs,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,,20.0,7.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,__MISSING__,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,No priority to vehicle,morning,2.0,4.0,3.0,8.0,5.0,1.0
Thursday,18-30,Male,Junior high school,Employee,__MISSING__,__MISSING__,Owner,__MISSING__,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,18-30,Driver,Normal,Unknown or other,Other,evening,1.0,1.0,3.0,19.0,3.0,0.0
Tuesday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,No defect,__MISSING__,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,1.0,1.0,,12.0,5.0,0.0
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,afternoon,3.0,1.0,,14.0,7.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,__MISSING__,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Pedestrian,Male,31-50,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,morning,4.0,2.0,3.0,8.0,2.0,0.0
Monday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,__MISSING__,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Unemployed,Normal,Not a Pedestrian,Driving to the left,morning,2.0,1.0,3.0,7.0,1.0,0.0
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,__MISSING__,No defect,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,Pedestrian,Female,Under 18,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,morning,2.0,1.0,3.0,6.0,1.0,0.0
Monday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Overtaking,__MISSING__,__MISSING__,__MISSING__,Employee,Normal,Not a Pedestrian,No distancing,afternoon,2.0,1.0,,13.0,5.0,0.0
Wednesday,18-30,Male,Writing & reading,Employee,Below 1yr,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,evening,2.0,4.0,3.0,18.0,4.0,1.0
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,__MISSING__,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Female,31-50,Driver,Normal,Not a Pedestrian,No distancing,evening,2.0,1.0,2.0,20.0,1.0,0.0
Sunday,31-50,Male,Junior high school,Owner,Above 10yr,Special vehicle,Owner,__MISSING__,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,morning,2.0,1.0,,7.0,5.0,0.0
Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,__MISSING__,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Driver,__MISSING__,Not a Pedestrian,Getting off the vehicle improperly,afternoon,2.0,4.0,,14.0,7.0,1.0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Below 1yr,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,Over 51,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,afternoon,2.0,1.0,3.0,14.0,1.0,0.0
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,__MISSING__,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,Other,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,3.0,3.0,15.0,1.0,0.0
Saturday,18-30,Male,High school,Owner,2-5yr,Automobile,Owner,__MISSING__,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,evening,1.0,1.0,,23.0,7.0,0.0
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Other,Governmental,__MISSING__,No defect,Residential areas,other,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,No priority to vehicle,evening,2.0,1.0,,20.0,8.0,0.0
Tuesday,__MISSING__,Male,__MISSING__,Owner,Above 10yr,Automobile,Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,__MISSING__,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,1.0,3.0,13.0,4.0,0.0
Saturday,18-30,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,__MISSING__,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Driver or rider,Male,18-30,Employee,Normal,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,3.0,14.0,1.0,0.0
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,__MISSING__,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Under 18,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,night,1.0,1.0,3.0,1.0,4.0,0.0
Monday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Overspeed,evening,2.0,2.0,3.0,19.0,1.0,0.0
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Stopping,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,2.0,2.0,,16.0,5.0,0.0
Sunday,18-30,Male,High school,Employee,Below 1yr,Automobile,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,Overtaking,afternoon,4.0,7.0,3.0,13.0,3.0,1.0
Sunday,18-30,Male,Junior high school,Owner,Below 1yr,Other,Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,morning,2.0,3.0,3.0,11.0,0.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,5-10yrs,__MISSING__,Hospital areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,1.0,3.0,17.0,1.0,0.0
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,Under 18,Driver,Normal,Not a Pedestrian,No distancing,afternoon,3.0,1.0,2.0,16.0,2.0,0.0
Wednesday,Under 18,Male,High school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,No distancing,evening,2.0,2.0,3.0,18.0,1.0,0.0
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Other,morning,3.0,1.0,3.0,11.0,0.0,0.0
Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Passenger,Male,Over 51,Driver,Normal,Not a Pedestrian,Moving Backward,night,4.0,2.0,3.0,2.0,2.0,0.0
Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,__MISSING__,Governmental,__MISSING__,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,__MISSING__,Normal,Not a Pedestrian,No priority to pedestrian,night,2.0,4.0,3.0,0.0,3.0,1.0
Thursday,__MISSING__,Female,__MISSING__,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,afternoon,1.0,1.0,3.0,15.0,3.0,0.0
Friday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Governmental,2-5yrs,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Pedestrian,Female,18-30,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,afternoon,2.0,3.0,3.0,16.0,1.0,0.0
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,__MISSING__,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Collision with pedestrians,Going straight,Passenger,Male,18-30,Self-employed,Normal,Not a Pedestrian,Driving carelessly,afternoon,3.0,2.0,3.0,12.0,1.0,0.0
Wednesday,18-30,Male,Elementary school,Other,5-10yr,__MISSING__,Owner,2-5yrs,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,18-30,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,morning,3.0,2.0,3.0,10.0,3.0,0.0
Thursday,__MISSING__,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,afternoon,2.0,1.0,,14.0,9.0,0.0
Thursday,__MISSING__,Female,Elementary school,Employee,Below 1yr,Automobile,Owner,__MISSING__,No defect,Office areas,__MISSING__,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,morning,1.0,1.0,3.0,11.0,3.0,0.0
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,U-Turn,Driver or rider,Female,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Moving Backward,afternoon,2.0,3.0,3.0,12.0,3.0,0.0
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,1.0,3.0,13.0,1.0,0.0
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,morning,2.0,1.0,,9.0,8.0,0.0
Monday,18-30,Female,Junior high school,Employee,Below 1yr,Stationwagen,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,1.0,3.0,17.0,0.0,0.0
Wednesday,18-30,Male,Above high school,Employee,5-10yr,Other,Owner,__MISSING__,__MISSING__,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Stopping,Driver or rider,Female,Over 51,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,morning,2.0,1.0,3.0,7.0,3.0,0.0
Saturday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,__MISSING__,Driver or rider,Male,18-30,__MISSING__,Normal,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,3.0,17.0,2.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,2.0,,13.0,5.0,0.0
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Female,Under 18,__MISSING__,__MISSING__,Not a Pedestrian,No priority to pedestrian,afternoon,2.0,1.0,3.0,16.0,4.0,0.0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Special vehicle,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,Over 51,Driver,Normal,Not a Pedestrian,Changing lane to the left,evening,1.0,1.0,3.0,23.0,1.0,0.0
Wednesday,31-50,Male,Junior high school,Owner,Above 10yr,__MISSING__,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Moving Backward,afternoon,2.0,3.0,,13.0,6.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,__MISSING__,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Reversing,Driver or rider,Female,18-30,Employee,Normal,Not a Pedestrian,Changing lane to the right,evening,1.0,1.0,3.0,18.0,1.0,0.0
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,__MISSING__,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Other,morning,2.0,1.0,3.0,11.0,2.0,0.0
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,5-10yrs,__MISSING__,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Getting off,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,2.0,3.0,15.0,1.0,0.0
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Turnover,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,,10.0,5.0,0.0
Friday,__MISSING__,Male,Above high school,Owner,2-5yr,Lorry (41?100Q),Owner,5-10yrs,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver or rider,Male,Under 18,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,afternoon,3.0,1.0,3.0,13.0,2.0,0.0
Monday,__MISSING__,Female,Junior high school,Employee,1-2yr,Other,Owner,__MISSING__,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,Reversing,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Driving carelessly,evening,3.0,3.0,2.0,19.0,2.0,0.0
Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,Moving Backward,evening,2.0,1.0,3.0,20.0,0.0,0.0
Saturday,__MISSING__,Male,Junior high school,Employee,5-10yr,Automobile,Owner,__MISSING__,No defect,Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,evening,2.0,1.0,,22.0,8.0,0.0
Tuesday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,18-30,__MISSING__,__MISSING__,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,morning,2.0,1.0,3.0,9.0,4.0,0.0
Sunday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,night,3.0,3.0,3.0,0.0,1.0,0.0
Wednesday,Under 18,Male,Junior high school,Employee,Above 10yr,Other,Owner,2-5yrs,__MISSING__,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No distancing,morning,3.0,1.0,3.0,10.0,1.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,__MISSING__,Other,Passenger,Male,Over 51,Student,Normal,Not a Pedestrian,No priority to vehicle,afternoon,2.0,1.0,3.0,16.0,3.0,0.0
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Female,18-30,__MISSING__,Normal,Not a Pedestrian,Overturning,night,2.0,1.0,3.0,5.0,2.0,0.0
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver or rider,Male,31-50,__MISSING__,Normal,Not a Pedestrian,Changing lane to the left,afternoon,1.0,1.0,3.0,15.0,1.0,0.0
Sunday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,__MISSING__,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,Under 18,Driver,Normal,Not a Pedestrian,Driving carelessly,afternoon,3.0,6.0,3.0,16.0,1.0,1.0
Thursday,31-50,Male,High school,Employee,1-2yr,Public (12 seats),Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Female,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Moving Backward,afternoon,2.0,5.0,3.0,15.0,3.0,1.0
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,__MISSING__,Going straight,Passenger,Female,Under 18,Driver,Normal,Not a Pedestrian,Changing lane to the left,afternoon,2.0,1.0,3.0,13.0,2.0,0.0
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,__MISSING__,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,night,1.0,4.0,,4.0,5.0,1.0
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Moving Backward,afternoon,2.0,1.0,,16.0,5.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,2-5yrs,__MISSING__,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Passenger,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,No priority to pedestrian,afternoon,2.0,1.0,3.0,12.0,3.0,0.0
